Stream,NewLong,NewLat,Western_Pearlshell,Western_Ridged
South Fork Salmon River,-115.705701,44.684733,100-500   ,NA
South Fork Salmon River,-115.73919,44.94209,100-500   ,NA
South Fork Salmon River,-115.7013845,44.70467788,100-500   ,NA
South Fork Salmon River,-115.7013845,44.70467788,100-500   ,NA
South Fork Salmon River,-115.72572,44.91765,100-500   ,NA
South Fork Salmon River,-115.72572,44.91765,100-500   ,NA
South Fork Salmon River,-115.7046374,44.83324023,100-500   ,NA
South Fork Salmon River,-115.7046374,44.83324023,100-500   ,NA
South Fork Salmon River,-115.7046374,44.83324023,100-500   ,NA
Valley Creek,-114.98729,44.23296,100-500   ,NA
Warm Lake Creek,-115.67373,44.65897,100-500   ,NA
Warm Lake Creek,-115.67373,44.65897,100-500   ,NA
American River,-115.43398,45.81066,10-100    ,NA
American River,-115.43398,45.81066,10-100    ,NA
Bear Valley Creek,-115.2650818,44.43294253,10-100    ,NA
Bear Valley Creek,-115.3008045,44.42442987,10-100    ,NA
Bear Valley Creek,-115.3008045,44.42442987,10-100    ,NA
Big Bear Creek,-116.65834,46.68868703,10-100    ,NA
Bobs Creek,-116.3246622,46.85715251,10-100    ,NA
Bobs Creek,-116.3246622,46.85715251,10-100    ,NA
Camas Creek,-114.54255,44.85999,10-100    ,NA
Camas Creek,-114.5550387,44.86596295,10-100    ,NA
Crooked River,-115.5314,45.79842,10-100    ,NA
Crooked River,-115.52962,45.80167,10-100    ,NA
Crooked River,-115.52962,45.80167,10-100    ,NA
Crooked River,-115.52774,45.81857,10-100    ,NA
Crooked River,-115.52774,45.81857,10-100    ,NA
East Fork Potlatch River,-116.2822624,46.86506075,10-100    ,NA
East Fork Potlatch River,-116.3759153,46.84530368,10-100    ,NA
East Fork Potlatch River,-116.2501175,46.87663669,10-100    ,NA
East Fork Potlatch River,-116.2501175,46.87663669,10-100    ,NA
East Fork Potlatch River,-116.3241738,46.85722521,10-100    ,NA
East Fork Potlatch River,-116.2800126,46.86854852,10-100    ,NA
East Fork Potlatch River,-116.3095872,46.8597482,10-100    ,NA
East Fork Potlatch River,-116.3896422,46.82587364,10-100    ,NA
East Fork Potlatch River,-116.3896422,46.82587364,10-100    ,NA
East Fork Potlatch River,-116.2443776,46.87618506,10-100    ,NA
East Fork Potlatch River,-116.382374,46.80715078,10-100    ,NA
East Fork Potlatch River,-116.382374,46.80715078,10-100    ,NA
East Fork Potlatch River,-116.3490442,46.84777,10-100    ,NA
East Fork Potlatch River,-116.36616,46.84909366,10-100    ,NA
East Fork Potlatch River,-116.36616,46.84909366,10-100    ,NA
East Fork Potlatch River,-116.2853884,46.86095109,10-100    ,NA
