Stream,Strata,Section,SectionID,SurveyDate,NewLong,NewLat,Small,Medium,Large,Corbicula_spp,California_Floater,Other_Mussel,Unknown_Mussel,Western_Pearlshell,Western_Ridged
South Fork Salmon River,-99,73207,17639,7/14/2017,-115.69436,44.63488,1,1,0,NA,NA,NA,NA,10-100    ,NA
South Fork Salmon River,-99,73207,17639,7/14/2018,-115.69436,44.63488,0,1,0,NA,NA,NA,NA,10-100    ,NA
Valley Creek,3,B,943,8/1/2016,-115.0432866,44.30007493,1,1,0,NA,NA,NA,NA,10-100    ,NA
Valley Creek,3,B,943,7/19/2017,-115.0432866,44.30007493,0,1,0,NA,NA,NA,NA,10-100    ,NA
Warm Lake Creek,-99,50167,18504,7/23/2015,-115.66044,44.65546,0,1,0,NA,NA,NA,NA,10-100    ,NA
Warm Lake Creek,-99,50167,18504,6/29/2017,-115.66044,44.65546,0,1,0,NA,NA,NA,NA,10-100    ,NA
Warm Lake Creek,-99,50167,18504,7/13/2018,-115.66044,44.65546,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,16354,14560,6/3/2017,-116.4010084,46.91298097,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,16354,14560,6/4/2018,-116.4010084,46.91298097,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,237538,18511,6/4/2016,-116.429815,46.921229,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,237538,18511,6/3/2017,-116.429815,46.921229,1,1,1,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,237538,18511,6/4/2018,-116.429815,46.921229,0,0,1,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,384133,17019,6/4/2018,-116.46394,46.94379999,1,0,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,393186,17016,6/6/2017,-116.4532042,46.92552138,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,393186,17016,6/4/2018,-116.4532042,46.92552138,1,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,416901,17023,6/6/2017,-116.4603017,46.93401278,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,416901,17023,6/4/2018,-116.4603017,46.93401278,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,417762,17091,6/7/2015,-116.4133558,46.91809274,0,1,0,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,499682,18512,6/6/2017,-116.439263,46.922583,0,1,1,NA,NA,NA,NA,10-100    ,NA
West Fork Potlatch River,-99,89221,14578,6/4/2018,-116.4113252,46.9440194,0,1,0,NA,NA,NA,NA,10-100    ,NA
American River,2,1,1101,6/21/2015,-115.4473,45.885,0,1,0,NA,NA,NA,NA,500-1000  ,NA
East Fork Potlatch River,-99,1,128,6/7/2016,-116.2822624,46.86506075,1,1,1,NA,NA,NA,NA,500-1000  ,NA
East Fork Potlatch River,-99,13169,14612,6/5/2017,-116.266972,46.87616525,1,1,0,NA,NA,NA,NA,500-1000  ,NA
Pahsimeroi River,WEIR,WEIR,1130,8/2/2016,-114.0399117,44.68355256,0,1,1,NA,NA,NA,NA,500-1000  ,NA
Red River,2,TREAT 2,696,6/18/2015,-115.30337,45.73973,1,1,0,NA,NA,NA,NA,500-1000  ,NA
Red River,4,CNTL 2,1105,6/17/2016,-115.38694,45.72926,1,1,0,NA,NA,NA,NA,500-1000  ,NA
Ruby Creek,-99,2018,14608,6/7/2017,-116.3769531,46.80675439,1,1,1,NA,NA,NA,NA,500-1000  ,NA
South Fork Salmon River,-99,10743,18473,7/15/2018,-115.69626,44.7131,0,1,1,NA,NA,NA,NA,500-1000  ,NA
South Fork Salmon River,-99,14,714,7/26/2015,-115.7429389,44.92867194,1,1,1,NA,NA,NA,NA,500-1000  ,NA
South Fork Salmon River,-99,33311,18477,7/28/2016,-115.72468,44.963715,1,1,1,NA,NA,NA,NA,500-1000  ,NA
South Fork Salmon River,-99,44535,18474,7/15/2018,-115.705701,44.684733,1,1,1,NA,NA,NA,NA,500-1000  ,NA
South Fork Salmon River,-99,543,18482,8/2/2016,-115.73919,44.94209,1,1,1,NA,NA,NA,NA,500-1000  ,NA
South Fork Salmon River,-99,7,733,7/20/2016,-115.7013845,44.70467788,1,1,1,NA,NA,NA,NA,500-1000  ,NA
Warm Lake Creek,-99,28151,18505,7/23/2015,-115.67373,44.65897,1,1,0,NA,NA,NA,NA,500-1000  ,NA
Elk Creek,-99,1A,1869,7/11/2015,-115.4559398,44.41778558,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
Fish Creek,-99,172738,13346,7/15/2018,-115.3877756,46.36080213,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
Lochsa River,-99,L2,126,7/17/2017,-115.58437,46.16742,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
Meadow Creek,-99,1,650,7/18/2017,-115.2895,46.02984,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
Potlatch River,-99,144354,16370,6/15/2018,-116.46466,46.76457,0,1,0,NA,NA,NA,NA,ShellsOnly,NA
Potlatch River,-99,29666,14093,6/15/2018,-116.4416372,46.79000923,0,1,0,NA,NA,NA,NA,ShellsOnly,NA
Redfish Lake Creek,-99,WEIR DS,1083,7/21/2015,-114.914051,44.150416,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
Salmon River,7,7A,1296,7/17/2016,-114.8323221,44.00064331,0,1,0,NA,NA,NA,NA,ShellsOnly,NA
West Fork Potlatch River,-99,16354,14560,6/7/2015,-116.4010084,46.91298097,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
Colt Killed Creek,-99,46657,18283,7/30/2015,-114.483587,46.413506,1,0,0,NA,NA,NA,0-10      ,NA,NA
Big Bear Creek,-99,169954,14762,6/4/2017,-116.5950204,46.7820312,0,0,0,NA,NA,NA,ShellsOnly,NA,NA
Big Bear Creek,-99,169954,14762,6/3/2018,-116.5950204,46.7820312,1,0,0,NA,NA,NA,ShellsOnly,NA,NA
Pine Creek,-99,153570,17061,6/5/2018,-116.55128,46.71656999,1,0,0,NA,NA,NA,ShellsOnly,NA,NA
Potlatch River,-99,8210,14085,6/2/2018,-116.4008832,46.86181457,0,1,1,NA,0-10      ,NA,NA,NA,NA
Elk Creek,-99,1B,1870,7/17/2018,-115.4590811,44.414398,1,1,0,NA,0-10      ,NA,NA,0-10      ,NA
South Fork Salmon River,-99,14,714,7/26/2018,-115.7429389,44.92867194,1,1,1,NA,100-500   ,NA,NA,100-500   ,NA
South Fork Salmon River,-99,29215,18478,7/16/2018,-115.6966,44.794798,0,1,1,NA,100-500   ,NA,NA,100-500   ,NA
South Fork Salmon River,-99,33311,18477,7/26/2018,-115.72468,44.963715,1,1,1,NA,100-500   ,NA,NA,100-500   ,NA
South Fork Salmon River,-99,543,18482,7/26/2018,-115.73919,44.94209,1,1,1,NA,100-500   ,NA,NA,100-500   ,NA
South Fork Salmon River,-99,7199,18481,7/25/2018,-115.72572,44.91765,1,1,0,NA,100-500   ,NA,NA,100-500   ,NA
Big Bear Creek,-99,169954,14762,6/8/2015,-116.5950204,46.7820312,1,0,0,NA,10-100    ,NA,NA,NA,NA
South Fork Salmon River,-99,16,589,7/29/2018,-115.7191628,45.00260624,0,1,1,NA,10-100    ,NA,NA,NA,NA
Bear Valley Creek,3,3A,593,7/17/2018,-115.3708834,44.40753681,1,1,0,NA,10-100    ,NA,NA,10-100    ,NA
Little Salmon River,-99,1,586,7/29/2018,-116.3110092,45.20448643,1,0,0,NA,10-100    ,NA,NA,10-100    ,NA
South Fork Salmon River,-99,11,726,7/16/2018,-115.6947947,44.85270757,1,1,0,NA,10-100    ,NA,NA,10-100    ,NA
South Fork Salmon River,-99,60447,18475,7/25/2018,-115.73746,44.92408,0,1,0,NA,10-100    ,NA,NA,10-100    ,NA
South Fork Salmon River,-99,BLW HAMILTON,2381,8/11/2018,-115.6941066,45.03058992,0,1,1,NA,10-100    ,NA,NA,10-100    ,NA
Crooked River,3,NATURAL1,1265,6/29/2017,-115.5314,45.79842,0,1,0,10-100    ,NA,NA,NA,NA,NA
Valley Creek,1,B,2506,7/17/2016,-114.98729,44.23296,0,0,0,NA,NA,NA,NA,100-500   ,NA
Loon Creek,C CHANNEL,2,1290,8/13/2016,-114.7745143,44.70747278,0,0,0,NA,NA,NA,NA,10-100    ,NA
Bear Creek,FS 008 Bridge,109911,13976,7/21/2017,-115.0980599,44.45698696,0,0,0,NA,NA,NA,NA,NA,NA
Beaver Creek,1,A,739,7/27/2015,-115.1682067,44.4069568,0,0,0,NA,NA,NA,NA,NA,NA
Beaver Creek,1,A,739,7/19/2016,-115.1682067,44.4069568,0,0,0,NA,NA,NA,NA,NA,NA
Beaver Creek,Beaver Creek Trailhead,97111,13264,7/23/2015,-114.9845943,44.49034631,0,0,0,NA,NA,NA,NA,NA,NA
Beaver Creek,Below Bear Creek,11607,13269,7/19/2016,-115.129581,44.41884296,0,0,0,NA,NA,NA,NA,NA,NA
Cape Horn Creek,1,A,627,7/21/2017,-115.2061944,44.35711606,0,0,0,NA,NA,NA,NA,NA,NA
Cape Horn Creek,2,B,1256,7/21/2017,-115.2036608,44.35945934,0,0,0,NA,NA,NA,NA,NA,NA
Cape Horn Creek,Borrow Pit,150871,13934,7/21/2017,-115.1889188,44.3772694,0,0,0,NA,NA,NA,NA,NA,NA
Dahlonega Creek,-99,46047,18291,6/29/2017,-113.927632,45.548642,0,0,0,NA,NA,NA,NA,NA,NA
Dahlonega Creek,Middle,29663,14901,7/1/2017,-113.8922816,45.55698633,0,0,0,NA,NA,NA,NA,NA,NA
Dahlonega Creek,Middle,3039,14900,7/1/2017,-113.8561874,45.56255433,0,0,0,NA,NA,NA,NA,NA,NA
East Fork Potlatch River,-99,136049,14615,6/3/2017,-116.3241738,46.85722521,0,0,0,NA,NA,NA,NA,NA,NA
East Fork Potlatch River,-99,95089,14101,6/2/2017,-116.2147661,46.89906945,0,0,0,NA,NA,NA,NA,NA,NA
Hull Creek,-99,216895,18350,7/1/2017,-114.073809,45.483832,0,0,0,NA,NA,NA,NA,NA,NA
Hull Creek,-99,245471,18348,7/1/2017,-113.9964,45.46977,0,0,0,NA,NA,NA,NA,NA,NA
Hull Creek,-99,81631,18349,7/1/2017,-114.058813,45.484672,0,0,0,NA,NA,NA,NA,NA,NA
Knapp Creek,1,B,596,7/25/2015,-115.04008,44.41763,0,0,0,NA,NA,NA,NA,NA,NA
Knapp Creek,-99,126295,18044,7/22/2017,-115.1079891,44.3770436,0,0,0,NA,NA,NA,NA,NA,NA
Knapp Creek,-99,164695,15482,7/18/2016,-114.9942676,44.41554217,0,0,0,NA,NA,NA,NA,NA,NA
Knapp Creek,Above FS Station,130391,13931,7/18/2016,-115.0165984,44.41402702,0,0,0,NA,NA,NA,NA,NA,NA
Knapp Creek,Above FS Station,73047,13257,7/25/2015,-115.0625033,44.40915418,0,0,0,NA,NA,NA,NA,NA,NA
Knapp Creek,Above FS Station,73047,13257,7/18/2016,-115.0625033,44.40915418,0,0,0,NA,NA,NA,NA,NA,NA
Marsh Creek,1,A,740,7/26/2015,-115.2106799,44.4404004,0,0,0,NA,NA,NA,NA,NA,NA
Marsh Creek,Below Meadow,105815,13978,7/26/2015,-115.169102,44.40001005,0,0,0,NA,NA,NA,NA,NA,NA
Salmon River,2,2B,1084,7/17/2016,-114.9027473,44.17049387,0,0,0,NA,NA,NA,NA,NA,NA
Salmon River,3,3BRA,1298,7/17/2016,-114.8910193,44.16591656,0,0,0,NA,NA,NA,NA,NA,NA
Salmon River,4,4B,950,7/17/2016,-114.83472,44.03559,0,0,0,NA,NA,NA,NA,NA,NA
Swamp Creek,Lower,21847,13262,7/21/2017,-115.1417041,44.35584851,0,0,0,NA,NA,NA,NA,NA,NA
Swamp Creek,Upper,120151,13969,7/25/2015,-115.1515032,44.34509378,0,0,0,NA,NA,NA,NA,NA,NA
Swamp Creek,Upper,120151,13969,7/21/2017,-115.1515032,44.34509378,0,0,0,NA,NA,NA,NA,NA,NA
Valley Creek,6,B,742,7/21/2017,-115.0569604,44.33860449,0,0,0,NA,NA,NA,NA,NA,NA
Winnemucca Creek,-99,141143,14767,7/22/2017,-114.9764502,44.47465812,0,0,0,NA,NA,NA,NA,NA,NA
Loon Creek,PACK BR,1,1291,8/13/2016,-114.760724,44.69593421,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
South Fork Salmon River,-99,11,726,8/1/2017,-115.6947947,44.85270757,0,0,0,NA,NA,NA,NA,ShellsOnly,NA
